nome,sobrenome,email,telefone,empresa,cargo,segmento,assunto,mensagem
Matheus,Fonseca,fonseca@gmail.com,558888888,empresa,trainee/estagiário,upstream,parceria com universidades,sem mensagem.
Léticia,Bascos,bascos@gmail.com,5511111111,empresa,gerente,downstream,outros,sem mensagem.
Patrícia,Barros,barros@gmail.com,abdde,empresa,coordenador/supervisor,papel e celulose,atendimento comercial,sem mensagem.
Gulherme,Rarlou,rarlou@gmail.com,5522222222,empresa,engenheiro,alimentos e bebidas,outros,sem mensagem.
Matheus,Fonseca,fonseca@gmail.com,558888888,empresa,trainee/estagiário,upstream,parceria com universidades,sem mensagem.
Léticia,Bascos,bascos@gmail.com,5511111111,empresa,gerente,downstream,outros,sem mensagem.
Patrícia,Barros,barros@gmail.com,abdde,empresa,coordenador/supervisor,papel e celulose,atendimento comercial,sem mensagem.
Gulherme,Rarlou,rarlou@gmail.com,5522222222,empresa,engenheiro,alimentos e bebidas,outros,sem mensagem.
Matheus,Fonseca,fonseca@gmail.com,558888888,empresa,trainee/estagiário,upstream,parceria com universidades,sem mensagem.
Léticia,Bascos,bascos@gmail.com,5511111111,empresa,gerente,downstream,outros,sem mensagem.
Patrícia,Barros,barros@gmail.com,abdde,empresa,coordenador/supervisor,papel e celulose,atendimento comercial,sem mensagem.
Gulherme,Rarlou,rarlou@gmail.com,5522222222,empresa,engenheiro,alimentos e bebidas,outros,sem mensagem.
